State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=183,2.589850e-02,9.496203e-01,2.448124e-02
n=184,2.597018e-02,9.494831e-01,2.454670e-02
n=185,2.604166e-02,9.493463e-01,2.461200e-02
n=186,2.611292e-02,9.492099e-01,2.467713e-02
n=187,2.618399e-02,9.490739e-01,2.474211e-02
n=188,2.625485e-02,9.489382e-01,2.480692e-02
n=189,2.632550e-02,9.488029e-01,2.487158e-02
n=190,2.639596e-02,9.486680e-01,2.493608e-02
n=191,2.646623e-02,9.485334e-01,2.500042e-02
n=192,2.653629e-02,9.483991e-01,2.506460e-02
n=193,2.660616e-02,9.482652e-01,2.512864e-02
n=194,2.667584e-02,9.481316e-01,2.519251e-02
n=195,2.674532e-02,9.479984e-01,2.525624e-02
n=196,2.681462e-02,9.478656e-01,2.531982e-02
n=197,2.688373e-02,9.477330e-01,2.538325e-02
n=198,2.695265e-02,9.476008e-01,2.544652e-02
n=199,2.702138e-02,9.729786e-01,0.000000e+00
