State,"p_{n,n-1}","p_{n,n}","p_{n,n+1}"
n=190,1.000000e+00,0.000000e+00,0.000000e+00
n=191,1.000000e+00,0.000000e+00,0.000000e+00
n=192,1.000000e+00,0.000000e+00,0.000000e+00
n=193,1.000000e+00,0.000000e+00,0.000000e+00
n=194,1.000000e+00,0.000000e+00,0.000000e+00
n=195,1.000000e+00,0.000000e+00,0.000000e+00
n=196,1.000000e+00,0.000000e+00,0.000000e+00
n=197,1.000000e+00,0.000000e+00,0.000000e+00
n=198,1.000000e+00,0.000000e+00,0.000000e+00
n=199,1.000000e+00,0.000000e+00,0.000000e+00
